event_id,title,description,url,source,start_date,end_date,timezone,format,location,language,topics,relevant_for,format_tags,why_relevant,curator_notes,first_seen_at,last_verified_at,status,classification_confidence,reviewer
https://www.frenchweb.fr/hello-tomorrow-global-summit-la-bascule-du-laboratoire-vers-le-capital/461514,Hello Tomorrow Global Summit 2026,"Le principal carrefour européen de la deeptech réunit chercheurs, entrepreneurs, industriels et investisseurs à Amsterdam pour accélérer le passage du laboratoire au capital.",https://www.frenchweb.fr/hello-tomorrow-global-summit-la-bascule-du-laboratoire-vers-le-capital/461514,FrenchWeb,2026-06-11,2026-06-12,Europe/Amsterdam,in_person,"{""city"": ""Amsterdam"", ""country"": ""Pays-Bas"", ""venue"": null}",EN,"[""deeptech"", ""fundraising"", ""founder_community""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conferences"", ""pitching""]}","[""conference""]","Le sommet deeptech européen de référence, idéal pour les fondateurs cherchant à connecter science, industrie et capital-risque.",,2026-05-09T23:36:21.553455,2026-05-09T23:36:21.553455,queued_for_review,low,
https://www.frenchweb.fr/france-quantum-la-structuration-dune-filiere-europeenne/461518,"France Quantum, la structuration d'une filière européenne","Événement de référence de l'écosystème quantique français réunissant startups deeptech, labos publics, industriels et État à Station F pour transformer l'excellence scientifique en capacité industrielle.",https://www.frenchweb.fr/france-quantum-la-structuration-dune-filiere-europeenne/461518,FrenchWeb,2026-06-16,2026-06-16,Europe/Paris,in_person,"{""city"": ""Paris"", ""country"": ""France"", ""venue"": ""Station F""}",FR,"[""deeptech"", ""founder_community"", ""international_growth""]","{""stages"": [""pre_seed"", ""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""ecosystem""]}","[""conference""]","Point de convergence de l'écosystème quantique français : startups deeptech, industriels et État réunis à Station F pour structurer la filière.",,2026-05-09T23:36:27.576226,2026-05-09T23:36:27.576226,queued_for_review,low,
https://www.frenchweb.fr/qt-nordics-le-quantique-applique-a-lindustrie/461521,IQT Nordics – Le quantique appliqué à l'industrie,"À Oslo, IQT Nordics explore les applications concrètes du quantique : capteurs, communications sécurisées et intégration industrielle. Une approche pragmatique portée par l'écosystème nordique.",https://www.frenchweb.fr/qt-nordics-le-quantique-applique-a-lindustrie/461521,FrenchWeb,2026-06-22,2026-06-24,Europe/Oslo,in_person,"{""city"": ""Oslo"", ""country"": ""Norvège"", ""venue"": null}",EN,"[""deeptech"", ""security_compliance"", ""ai""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""workshops""]}","[""conference""]","Focus sur les applications industrielles du quantique (capteurs, sécurité) — pertinent pour les deeptech founders en quête de marchés concrets.",,2026-05-09T23:36:33.987061,2026-05-09T23:36:33.987061,queued_for_review,low,
https://www.frenchweb.fr/ieee-quantum-week-qce-le-niveau-reel-de-maturite/461528,IEEE Quantum Week (QCE) 2026,"Rendez-vous technique de référence sur l'informatique quantique : architectures, correction d'erreurs, logiciels quantiques et interopérabilité. Réunit chercheurs, ingénieurs et industriels à Toronto.",https://www.frenchweb.fr/ieee-quantum-week-qce-le-niveau-reel-de-maturite/461528,FrenchWeb,2026-09-13,2026-09-18,America/Toronto,in_person,"{""city"": ""Toronto"", ""country"": ""Canada"", ""venue"": null}",EN,"[""deeptech"", ""ai""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""workshops""]}","[""conference"", ""workshop""]",Référence mondiale sur la maturité quantique réelle : idéal pour les fondateurs deeptech cherchant signal vs hype.,,2026-05-09T23:36:40.526402,2026-05-09T23:36:40.526402,queued_for_review,low,
https://www.frenchweb.fr/commercialising-quantum-global-la-confrontation-au-reel/461525,Commercialising Quantum Global,"Événement pragmatique dédié à la viabilité économique du quantique : intégration dans des environnements réels, confrontation au marché et discussions sur les cas d'usage concrets.",https://www.frenchweb.fr/commercialising-quantum-global-la-confrontation-au-reel/461525,FrenchWeb,2026-06-16,2026-06-17,Europe/London,in_person,"{""city"": ""Londres"", ""country"": ""Royaume-Uni"", ""venue"": null}",EN,"[""deeptech"", ""international_growth"", ""saas_b2b""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""workshops""]}","[""conference""]",Focus sur la commercialisation réelle du quantique : idéal pour startups deeptech cherchant à valider leur go-to-market.,,2026-05-09T23:36:46.504878,2026-05-09T23:36:46.504878,queued_for_review,low,
https://www.frenchweb.fr/machina-by-raise-2026-paris-veut-devenir-lun-des-centres-europeens-de-la-physical-ai/461688,MACHINA by RAISE 2026,"Événement parisien dédié à la robotique et à la 'physical AI', organisé par l'écosystème RAISE. Paris ambitionne de devenir un centre européen majeur de l'IA physique et de la révolution robotique.",https://www.frenchweb.fr/machina-by-raise-2026-paris-veut-devenir-lun-des-centres-europeens-de-la-physical-ai/461688,FrenchWeb,2026-07-07,2026-07-07,Europe/Paris,in_person,"{""city"": ""Paris"", ""country"": ""France"", ""venue"": null}",FR,"[""ai"", ""deeptech"", ""founder_community""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""ai"", ""robotics""]}","[""conference""]","Focus européen sur la physical AI et la robotique, porté par l'écosystème RAISE à Paris — clé pour les fondateurs deeptech & AI.",,2026-05-16T17:37:47.071059,2026-05-16T17:37:47.071059,queued_for_review,low,
https://www.frenchweb.fr/robotics-summit-expo-2026-boston-au-coeur-de-la-nouvelle-economie-robotique/461685,Robotics Summit & Expo 2026,"Le Robotics Summit & Expo 2026 à Boston réunit les acteurs de la robotique industrielle, académique et logistique autour de la convergence des marchés et de la nouvelle économie robotique.",https://www.frenchweb.fr/robotics-summit-expo-2026-boston-au-coeur-de-la-nouvelle-economie-robotique/461685,FrenchWeb,2026-05-27,2026-05-28,America/New_York,in_person,"{""city"": ""Boston"", ""country"": ""États-Unis"", ""venue"": null}",EN,"[""deeptech"", ""ai""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""expo"", ""conference""]}","[""conference""]","Convergence robotique industrielle, académique et logistique : terrain fertile pour startups deeptech cherchant partenaires et marchés.",,2026-05-16T17:37:53.943895,2026-05-16T17:37:53.943895,queued_for_review,low,
https://www.frenchweb.fr/automate-show-2026-la-robotique-industrielle-entre-dans-lere-de-lusine-autonome/461682,Automate Show 2026,"Grand salon mondial de la robotique industrielle et de l'automatisation à Chicago, explorant la convergence entre IA et usine autonome. Rendez-vous incontournable pour acteurs de l'industrie 4.0.",https://www.frenchweb.fr/automate-show-2026-la-robotique-industrielle-entre-dans-lere-de-lusine-autonome/461682,FrenchWeb,2026-06-22,2026-06-25,America/Chicago,in_person,"{""city"": ""Chicago"", ""country"": ""USA"", ""venue"": null}",EN,"[""ai"", ""deeptech""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""exhibition"", ""conference""]}","[""conference""]","Salon mondial sur la robotique industrielle et l'IA appliquée à l'usine autonome, pertinent pour startups deeptech et industrielles.",,2026-05-16T17:38:01.514157,2026-05-16T17:38:01.514157,queued_for_review,low,
https://www.frenchweb.fr/humanoids-summit-tokyo-2026-la-robotique-humanoide-entre-dans-sa-phase-industrielle/461678,Humanoids Summit Tokyo 2026,"Sommet international dédié à la robotique humanoïde à Tokyo, explorant son passage à la phase industrielle et les opportunités de marché de masse en 2026.",https://www.frenchweb.fr/humanoids-summit-tokyo-2026-la-robotique-humanoide-entre-dans-sa-phase-industrielle/461678,FrenchWeb,2026-05-28,2026-05-29,Asia/Tokyo,in_person,"{""city"": ""Tokyo"", ""country"": ""Japan"", ""venue"": null}",EN,"[""deeptech"", ""international_growth"", ""ai""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""deeptech""]}","[""conference""]","Premier sommet sur la robotique humanoïde industrielle à Tokyo, idéal pour les fondateurs deeptech et hardware visant les marchés asiatiques.",,2026-05-16T17:38:09.160702,2026-05-16T17:38:09.160702,queued_for_review,low,
https://www.frenchweb.fr/sibos-derriere-la-fintech-la-mecanique-du-systeme-financier-mondial/461672,SIBOS 2026,"Le principal sommet mondial des infrastructures financières, organisé par SWIFT. Réunit les acteurs clés du système financier mondial autour des infrastructures, paiements et innovations fintech.",https://www.frenchweb.fr/sibos-derriere-la-fintech-la-mecanique-du-systeme-financier-mondial/461672,FrenchWeb,2026-09-28,2026-10-01,America/New_York,in_person,"{""city"": ""Miami"", ""country"": ""USA"", ""venue"": null}",EN,"[""saas_b2b"", ""ai"", ""security_compliance"", ""international_growth"", ""deeptech""]","{""stages"": [""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""fintech""]}","[""conference""]",Sommet mondial des infrastructures financières SWIFT — incontournable pour les fintechs B2B visant les marchés institutionnels et internationaux.,,2026-05-16T17:38:15.638219,2026-05-16T17:38:15.638219,queued_for_review,low,
https://www.frenchweb.fr/hello-tomorrow-global-summit-la-bascule-du-laboratoire-vers-le-capital/461514,Hello Tomorrow Global Summit 2026,"Le principal carrefour européen de la deeptech réunit chercheurs, entrepreneurs, industriels et investisseurs à Amsterdam pour accélérer le passage du laboratoire au capital.",https://www.frenchweb.fr/hello-tomorrow-global-summit-la-bascule-du-laboratoire-vers-le-capital/461514,FrenchWeb,2026-06-11,2026-06-12,Europe/Amsterdam,in_person,"{""city"": ""Amsterdam"", ""country"": ""Pays-Bas"", ""venue"": null}",EN,"[""deeptech"", ""fundraising"", ""founder_community""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conferences"", ""pitching""]}","[""conference""]","Carrefour européen deeptech réunissant chercheurs, fondateurs et investisseurs pour accélérer le transfert labo→capital.",,2026-05-16T17:39:33.772503,2026-05-16T17:39:33.772503,queued_for_review,low,
https://www.frenchweb.fr/france-quantum-la-structuration-dune-filiere-europeenne/461518,France Quantum – La structuration d'une filière européenne,"Rendez-vous de l'écosystème quantique français à Station F : laboratoires, startups deeptech, industriels et État réunis pour transformer l'excellence scientifique en capacité industrielle.",https://www.frenchweb.fr/france-quantum-la-structuration-dune-filiere-europeenne/461518,FrenchWeb,2026-06-16,2026-06-16,Europe/Paris,in_person,"{""city"": ""Paris"", ""country"": ""France"", ""venue"": ""Station F""}",FR,"[""deeptech"", ""founder_community"", ""international_growth""]","{""stages"": [""pre_seed"", ""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference""]}","[""conference""]","Événement clé de la filière quantique française réunissant startups deeptech, industriels et État à Station F.",,2026-05-16T17:39:39.813748,2026-05-16T17:39:39.813748,queued_for_review,low,
https://www.frenchweb.fr/qt-nordics-le-quantique-applique-a-lindustrie/461521,IQT Nordics – Le quantique appliqué à l'industrie,"À Oslo, IQT Nordics explore les applications concrètes du quantique : capteurs, communications sécurisées et intégration industrielle. Une approche pragmatique portée par l'écosystème nordique.",https://www.frenchweb.fr/qt-nordics-le-quantique-applique-a-lindustrie/461521,FrenchWeb,2026-06-22,2026-06-24,Europe/Oslo,in_person,"{""city"": ""Oslo"", ""country"": ""Norvège"", ""venue"": null}",EN,"[""deeptech"", ""security_compliance""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference""]}","[""conference""]","Focus sur les applications industrielles du quantique (capteurs, sécurité) — pertinent pour startups deeptech cherchant débouchés concrets.",,2026-05-16T17:39:46.266121,2026-05-16T17:39:46.266121,queued_for_review,low,
https://www.frenchweb.fr/ieee-quantum-week-qce-le-niveau-reel-de-maturite/461528,IEEE Quantum Week (QCE) 2026,"Rendez-vous technique de référence sur l'informatique quantique : architectures, correction d'erreurs, logiciels quantiques et interopérabilité. Réunit chercheurs, ingénieurs et industriels à Toronto.",https://www.frenchweb.fr/ieee-quantum-week-qce-le-niveau-reel-de-maturite/461528,FrenchWeb,2026-09-13,2026-09-18,America/Toronto,in_person,"{""city"": ""Toronto"", ""country"": ""Canada"", ""venue"": null}",EN,"[""deeptech"", ""ai""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""workshops""]}","[""conference"", ""workshop""]",Référence mondiale sur la maturité quantique réelle : idéal pour les fondateurs deeptech cherchant signal vs hype.,,2026-05-16T17:39:52.536396,2026-05-16T17:39:52.536396,queued_for_review,low,
https://www.frenchweb.fr/commercialising-quantum-global-la-confrontation-au-reel/461525,Commercialising Quantum Global,"Événement pragmatique à Londres centré sur la viabilité économique du quantique : intégration dans des environnements réels, modèles commerciaux et confrontation au marché.",https://www.frenchweb.fr/commercialising-quantum-global-la-confrontation-au-reel/461525,FrenchWeb,2026-06-16,2026-06-17,Europe/London,in_person,"{""city"": ""Londres"", ""country"": ""Royaume-Uni"", ""venue"": null}",EN,"[""deeptech"", ""saas_b2b"", ""international_growth""]","{""stages"": [""seed"", ""series_a"", ""series_b_plus""], ""activities"": [""networking"", ""conference"", ""workshops""]}","[""conference""]",Focus sur la commercialisation réelle du quantique : idéal pour startups deeptech cherchant à valider leur modèle économique à l'international.,,2026-05-16T17:39:58.761231,2026-05-16T17:39:58.761231,queued_for_review,low,
